Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender_Female,Gender_Male,Married_No,Married_Yes,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
0,5849.0,5849.0,5849.0,5849.0,1.0,False,True,True,False,True,False,True,False,False,False,True
1,4583.0,4583.0,4583.0,4583.0,1.0,False,True,False,True,True,False,True,False,True,False,False
0,3000.0,3000.0,3000.0,3000.0,1.0,False,True,False,True,True,False,False,True,False,False,True
0,2583.0,2583.0,2583.0,2583.0,1.0,False,True,False,True,False,True,True,False,False,False,True
0,6000.0,6000.0,6000.0,6000.0,1.0,False,True,True,False,True,False,True,False,False,False,True
2,5417.0,5417.0,5417.0,5417.0,1.0,False,True,False,True,True,False,False,True,False,False,True
0,2333.0,2333.0,2333.0,2333.0,1.0,False,True,False,True,False,True,True,False,False,False,True
3,3036.0,3036.0,3036.0,3036.0,0.0,False,True,False,True,True,False,True,False,False,True,False
2,4006.0,4006.0,4006.0,4006.0,1.0,False,True,False,True,True,False,True,False,False,False,True
1,10161.5,10161.5,10161.5,10161.5,1.0,False,True,False,True,True,False,True,False,False,True,False
2,3200.0,3200.0,3200.0,3200.0,1.0,False,True,False,True,True,False,True,False,False,False,True
2,2500.0,2500.0,2500.0,2500.0,1.0,False,True,False,True,True,False,False,False,False,False,True
2,3073.0,3073.0,3073.0,3073.0,1.0,False,True,False,True,True,False,True,False,False,False,True
0,1853.0,1853.0,1853.0,1853.0,1.0,False,True,True,False,True,False,True,False,True,False,False
2,1299.0,1299.0,1299.0,1299.0,1.0,False,True,False,True,True,False,True,False,False,False,True
0,4950.0,4950.0,4950.0,4950.0,1.0,False,True,True,False,True,False,True,False,False,False,True
1,3596.0,3596.0,3596.0,3596.0,5403.459283387622,False,True,True,False,False,True,True,False,False,False,True
0,3510.0,3510.0,3510.0,3510.0,0.0,True,False,True,False,True,False,True,False,False,False,True
0,4887.0,4887.0,4887.0,4887.0,1.0,False,True,False,True,False,True,True,False,True,False,False
0,2600.0,2600.0,2600.0,2600.0,1.0,False,True,False,True,True,False,False,False,False,False,True
0,7660.0,7660.0,7660.0,7660.0,0.0,False,True,False,True,False,True,True,False,False,False,True
1,5955.0,5955.0,5955.0,5955.0,1.0,False,True,False,True,True,False,True,False,False,False,True
0,2600.0,2600.0,2600.0,2600.0,0.0,False,True,False,True,False,True,True,False,False,True,False
2,3365.0,3365.0,3365.0,3365.0,0.0,False,False,False,True,False,True,True,False,True,False,False
1,3717.0,3717.0,3717.0,3717.0,5403.459283387622,False,True,False,True,True,False,False,False,False,True,False
0,9560.0,9560.0,9560.0,9560.0,1.0,False,True,False,True,True,False,False,True,False,True,False
0,2799.0,2799.0,2799.0,2799.0,1.0,False,True,False,True,True,False,True,False,False,True,False
2,4226.0,4226.0,4226.0,4226.0,1.0,False,True,False,True,False,True,True,False,False,False,True
0,1442.0,1442.0,1442.0,1442.0,1.0,False,True,True,False,False,True,True,False,False,False,True
2,3750.0,3750.0,3750.0,3750.0,1.0,True,False,True,False,True,False,False,False,False,True,False
1,4166.0,4166.0,4166.0,4166.0,5403.459283387622,False,True,False,True,True,False,False,False,False,False,True
0,3167.0,3167.0,3167.0,3167.0,1.0,False,True,True,False,True,False,True,False,False,False,True
1,4692.0,4692.0,4692.0,4692.0,1.0,False,True,True,False,True,False,False,True,True,False,False
0,3500.0,3500.0,3500.0,3500.0,1.0,False,True,False,True,True,False,True,False,False,True,False
3,10161.5,10161.5,10161.5,10161.5,1.0,False,True,True,False,True,False,True,False,True,False,False
0,2275.0,2275.0,2275.0,2275.0,1.0,False,True,False,True,True,False,True,False,False,False,True
0,1828.0,1828.0,1828.0,1828.0,0.0,False,True,False,True,True,False,True,False,False,False,True
0,3667.0,3667.0,3667.0,3667.0,1.0,True,False,False,True,True,False,True,False,False,True,False
0,4166.0,4166.0,4166.0,4166.0,1.0,False,True,True,False,True,False,True,False,False,False,True
0,3748.0,3748.0,3748.0,3748.0,1.0,False,True,True,False,False,True,True,False,False,True,False
0,3600.0,3600.0,3600.0,3600.0,1.0,False,True,True,False,True,False,True,False,False,False,True
0,1800.0,1800.0,1800.0,1800.0,1.0,False,True,True,False,True,False,True,False,False,False,True
0,2400.0,2400.0,2400.0,2400.0,5403.459283387622,False,True,False,True,True,False,True,False,False,False,True
0,3941.0,3941.0,3941.0,3941.0,1.0,False,True,False,True,True,False,True,False,False,True,False
0,4695.0,4695.0,4695.0,4695.0,1.0,False,True,False,True,False,True,False,True,False,False,True
0,3410.0,3410.0,3410.0,3410.0,1.0,True,False,True,False,True,False,True,False,False,False,True
1,5649.0,5649.0,5649.0,5649.0,1.0,False,True,False,True,True,False,True,False,False,False,True
0,5821.0,5821.0,5821.0,5821.0,1.0,False,True,False,True,True,False,True,False,False,False,True
0,2645.0,2645.0,2645.0,2645.0,0.0,True,False,False,True,True,False,True,False,False,False,True
0,4000.0,4000.0,4000.0,4000.0,1.0,True,False,True,False,True,False,True,False,False,True,False
0,1928.0,1928.0,1928.0,1928.0,1.0,True,False,False,True,False,True,True,False,False,True,False
0,3086.0,3086.0,3086.0,3086.0,1.0,True,False,True,False,True,False,True,False,False,True,False
0,4230.0,4230.0,4230.0,4230.0,1.0,True,False,True,False,True,False,True,False,False,True,False
2,4616.0,4616.0,4616.0,4616.0,1.0,False,True,False,True,True,False,True,False,False,False,True
1,10161.5,10161.5,10161.5,10161.5,0.0,True,False,False,True,True,False,False,True,False,False,True
2,2708.0,2708.0,2708.0,2708.0,1.0,False,True,False,True,True,False,True,False,False,True,False
0,2132.0,2132.0,2132.0,2132.0,1.0,False,True,False,True,True,False,True,False,False,True,False
0,3366.0,3366.0,3366.0,3366.0,1.0,False,True,False,True,True,False,True,False,True,False,False
1,8080.0,8080.0,8080.0,8080.0,1.0,False,True,False,True,True,False,True,False,False,False,True
2,3357.0,3357.0,3357.0,3357.0,1.0,False,True,False,True,False,True,True,False,False,False,True
0,2500.0,2500.0,2500.0,2500.0,1.0,False,True,False,True,True,False,True,False,False,False,True
3,3029.0,3029.0,3029.0,3029.0,1.0,False,True,False,True,True,False,True,False,False,False,True
0,2609.0,2609.0,2609.0,2609.0,0.0,False,True,False,True,False,True,False,True,True,False,False
1,4945.0,4945.0,4945.0,4945.0,0.0,False,True,False,True,True,False,True,False,True,False,False
0,4166.0,4166.0,4166.0,4166.0,0.0,True,False,True,False,True,False,True,False,False,True,False
0,5726.0,5726.0,5726.0,5726.0,1.0,False,True,False,True,True,False,True,False,False,True,False
0,3200.0,3200.0,3200.0,3200.0,0.0,False,True,True,False,False,True,True,False,False,False,True
1,10161.5,10161.5,10161.5,10161.5,1.0,False,True,False,True,True,False,True,False,False,False,True
3,7100.0,7100.0,7100.0,7100.0,1.0,False,True,False,True,False,True,False,True,False,False,True
0,4300.0,4300.0,4300.0,4300.0,0.0,True,False,True,False,True,False,True,False,False,True,False
0,3208.0,3208.0,3208.0,3208.0,1.0,False,True,False,True,True,False,True,False,False,False,True
2,1875.0,1875.0,1875.0,1875.0,1.0,False,True,False,True,False,True,False,True,False,True,False
0,3500.0,3500.0,3500.0,3500.0,1.0,False,True,True,False,True,False,True,False,False,True,False
3,4755.0,4755.0,4755.0,4755.0,0.0,False,True,False,True,False,True,True,False,False,True,False
3,5266.0,5266.0,5266.0,5266.0,1.0,False,True,False,True,True,False,False,True,False,True,False
0,3750.0,3750.0,3750.0,3750.0,1.0,False,True,True,False,True,False,True,False,False,False,True
0,3750.0,3750.0,3750.0,3750.0,1.0,False,True,True,False,True,False,True,False,False,False,True
1,1000.0,1000.0,1000.0,1000.0,1.0,False,True,False,True,True,False,False,True,False,False,True
3,3167.0,3167.0,3167.0,3167.0,0.0,False,True,False,True,True,False,True,False,False,True,False
3,3333.0,3333.0,3333.0,3333.0,5403.459283387622,False,True,False,True,False,True,False,True,False,True,False
0,3846.0,3846.0,3846.0,3846.0,1.0,True,False,True,False,True,False,True,False,False,True,False
1,2395.0,2395.0,2395.0,2395.0,1.0,False,True,False,True,True,False,False,True,False,True,False
2,1378.0,1378.0,1378.0,1378.0,1.0,True,False,False,True,True,False,True,False,False,False,True
0,6000.0,6000.0,6000.0,6000.0,5403.459283387622,False,True,False,True,True,False,True,False,False,True,False
1,3988.0,3988.0,3988.0,3988.0,1.0,False,True,False,True,True,False,True,False,False,False,True
0,2366.0,2366.0,2366.0,2366.0,1.0,False,True,True,False,True,False,True,False,False,True,False
2,3333.0,3333.0,3333.0,3333.0,5403.459283387622,False,True,False,True,False,True,True,False,False,True,False
0,2500.0,2500.0,2500.0,2500.0,1.0,False,True,False,True,True,False,True,False,False,True,False
0,8566.0,8566.0,8566.0,8566.0,1.0,False,True,True,False,True,False,True,False,False,False,True
0,5695.0,5695.0,5695.0,5695.0,1.0,False,True,False,True,True,False,True,False,False,True,False
0,2958.0,2958.0,2958.0,2958.0,1.0,False,True,False,True,True,False,True,False,False,True,False
2,6250.0,6250.0,6250.0,6250.0,1.0,False,True,False,True,True,False,True,False,False,True,False
2,3273.0,3273.0,3273.0,3273.0,1.0,False,True,False,True,False,True,True,False,False,False,True
0,4133.0,4133.0,4133.0,4133.0,1.0,False,True,True,False,True,False,True,False,False,True,False
0,3620.0,3620.0,3620.0,3620.0,1.0,False,True,True,False,False,True,True,False,False,True,False
0,6782.0,6782.0,6782.0,6782.0,5403.459283387622,False,True,True,False,True,False,False,False,False,False,True
0,2484.0,2484.0,2484.0,2484.0,1.0,True,False,False,True,True,False,True,False,False,True,False
0,1977.0,1977.0,1977.0,1977.0,1.0,False,True,False,True,True,False,True,False,False,True,False
0,4188.0,4188.0,4188.0,4188.0,1.0,False,True,False,True,False,True,True,False,False,True,False
0,1759.0,1759.0,1759.0,1759.0,1.0,False,True,False,True,True,False,True,False,False,True,False
2,4288.0,4288.0,4288.0,4288.0,1.0,False,True,False,True,False,True,True,False,False,False,True
0,4843.0,4843.0,4843.0,4843.0,1.0,False,True,True,False,True,False,True,False,False,True,False
0.0,10161.5,10161.5,10161.5,10161.5,1.0,False,True,False,True,True,False,True,False,False,False,True
0,4652.0,4652.0,4652.0,4652.0,1.0,False,True,False,True,True,False,True,False,False,True,False
0.0,3816.0,3816.0,3816.0,3816.0,1.0,False,True,False,False,True,False,True,False,False,False,True
1,3052.0,3052.0,3052.0,3052.0,1.0,False,True,False,True,True,False,True,False,False,False,True
2,10161.5,10161.5,10161.5,10161.5,1.0,False,True,False,True,True,False,True,False,False,False,True
0,7333.0,7333.0,7333.0,7333.0,1.0,False,True,True,False,False,True,False,False,True,False,False
2,3800.0,3800.0,3800.0,3800.0,0.0,False,True,False,True,True,False,True,False,False,False,True
3,2071.0,2071.0,2071.0,2071.0,1.0,False,True,False,True,False,True,True,False,False,True,False
0,5316.0,5316.0,5316.0,5316.0,1.0,False,True,True,False,True,False,True,False,False,False,True
0,2929.0,2929.0,2929.0,2929.0,1.0,True,False,False,True,True,False,False,False,False,True,False
0,3572.0,3572.0,3572.0,3572.0,0.0,False,True,False,True,False,True,True,False,True,False,False
1,7451.0,7451.0,7451.0,7451.0,1.0,True,False,True,False,True,False,False,True,False,True,False
0,5050.0,5050.0,5050.0,5050.0,1.0,False,True,True,False,True,False,False,False,False,True,False
1,10161.5,10161.5,10161.5,10161.5,1.0,False,True,False,True,True,False,True,False,True,False,False
0,3167.0,3167.0,3167.0,3167.0,1.0,True,False,False,True,True,False,True,False,False,True,False
1,2214.0,2214.0,2214.0,2214.0,5403.459283387622,False,True,False,True,True,False,True,False,False,False,True
0,5568.0,5568.0,5568.0,5568.0,1.0,False,True,False,True,True,False,True,False,True,False,False
0,10161.5,10161.5,10161.5,10161.5,1.0,True,False,True,False,True,False,True,False,False,False,True
0.0,5667.0,5667.0,5667.0,5667.0,1.0,False,True,False,True,True,False,True,False,True,False,False
0,4166.0,4166.0,4166.0,4166.0,1.0,True,False,True,False,True,False,True,False,False,True,False
0,2137.0,2137.0,2137.0,2137.0,0.0,True,False,True,False,True,False,True,False,False,True,False
2,2957.0,2957.0,2957.0,2957.0,1.0,False,True,False,True,True,False,True,False,False,True,False
0,4300.0,4300.0,4300.0,4300.0,1.0,False,True,False,True,False,True,True,False,True,False,False
0,3692.0,3692.0,3692.0,3692.0,5403.459283387622,True,False,True,False,True,False,True,False,True,False,False
3,10161.5,10161.5,10161.5,10161.5,1.0,False,False,False,True,True,False,True,False,True,False,False
0,3865.0,3865.0,3865.0,3865.0,1.0,False,True,True,False,True,False,True,False,True,False,False
1,10161.5,10161.5,10161.5,10161.5,0.0,False,True,False,True,True,False,False,True,False,False,True
0,6080.0,6080.0,6080.0,6080.0,5403.459283387622,False,True,False,True,True,False,True,False,True,False,False
0,10161.5,10161.5,10161.5,10161.5,5403.459283387622,False,True,True,False,True,False,False,True,False,False,True
0,2014.0,2014.0,2014.0,2014.0,1.0,False,True,True,False,True,False,True,False,False,False,True
0,2718.0,2718.0,2718.0,2718.0,1.0,False,True,True,False,True,False,True,False,False,True,False
0,3459.0,3459.0,3459.0,3459.0,1.0,False,True,False,True,True,False,False,True,False,True,False
0,4895.0,4895.0,4895.0,4895.0,1.0,False,True,True,False,True,False,True,False,False,True,False
3,4000.0,4000.0,4000.0,4000.0,1.0,False,True,False,True,True,False,True,False,False,True,False
0,4583.0,4583.0,4583.0,4583.0,1.0,True,False,False,True,True,False,True,False,True,False,False
2,3316.0,3316.0,3316.0,3316.0,1.0,False,True,False,True,True,False,False,True,False,False,True
0,10161.5,10161.5,10161.5,10161.5,0.0,False,True,True,False,True,False,True,False,False,True,False
2,4200.0,4200.0,4200.0,4200.0,1.0,False,True,False,True,False,True,True,False,True,False,False
2,5042.0,5042.0,5042.0,5042.0,1.0,False,True,False,True,True,False,True,False,True,False,False
0,5417.0,5417.0,5417.0,5417.0,1.0,False,True,True,False,True,False,True,False,False,False,True
0,6950.0,6950.0,6950.0,6950.0,1.0,False,True,True,False,True,False,False,True,False,True,False
0,2698.0,2698.0,2698.0,2698.0,1.0,False,True,False,True,True,False,True,False,False,True,False
2,10161.5,10161.5,10161.5,10161.5,1.0,False,True,False,True,True,False,True,False,False,False,True
0,2330.0,2330.0,2330.0,2330.0,1.0,True,False,False,True,True,False,True,False,False,True,False
2,10161.5,10161.5,10161.5,10161.5,1.0,True,False,False,True,True,False,True,False,False,False,True
1,1538.0,1538.0,1538.0,1538.0,1.0,False,True,False,True,True,False,True,False,False,False,True
0,10000.0,10000.0,10000.0,10000.0,1.0,True,False,True,False,True,False,True,False,True,False,False
0,4860.0,4860.0,4860.0,4860.0,1.0,False,True,False,True,True,False,True,False,False,True,False
0,6277.0,6277.0,6277.0,6277.0,0.0,False,True,True,False,True,False,True,False,True,False,False
0,2577.0,2577.0,2577.0,2577.0,1.0,False,True,False,True,True,False,False,True,True,False,False
0,9166.0,9166.0,9166.0,9166.0,1.0,False,True,True,False,True,False,True,False,False,False,True
2,2281.0,2281.0,2281.0,2281.0,1.0,False,True,False,True,False,True,True,False,True,False,False
0,3254.0,3254.0,3254.0,3254.0,1.0,False,True,True,False,True,False,True,False,False,False,True
3,10161.5,10161.5,10161.5,10161.5,0.0,False,True,False,True,True,False,True,False,False,True,False
1,6000.0,6000.0,6000.0,6000.0,5403.459283387622,False,True,False,True,True,False,True,False,True,False,False
1,9538.0,9538.0,9538.0,9538.0,1.0,False,True,False,True,True,False,True,False,False,False,True
0,2980.0,2980.0,2980.0,2980.0,1.0,False,True,True,False,True,False,False,False,True,False,False
0,4583.0,4583.0,4583.0,4583.0,1.0,False,True,False,True,True,False,True,False,False,True,False
0,1863.0,1863.0,1863.0,1863.0,1.0,False,True,False,True,False,True,True,False,False,True,False
0,7933.0,7933.0,7933.0,7933.0,1.0,False,True,False,True,True,False,True,False,False,False,True
1,3089.0,3089.0,3089.0,3089.0,0.0,False,True,False,True,True,False,True,False,False,True,False
2,4167.0,4167.0,4167.0,4167.0,1.0,False,True,False,True,True,False,True,False,True,False,False
0,9323.0,9323.0,9323.0,9323.0,1.0,False,True,False,True,True,False,True,False,False,False,True
0,3707.0,3707.0,3707.0,3707.0,1.0,False,True,False,True,True,False,True,False,True,False,False
0,4583.0,4583.0,4583.0,4583.0,1.0,True,False,False,True,True,False,True,False,True,False,False
0,2439.0,2439.0,2439.0,2439.0,1.0,False,True,False,True,True,False,True,False,True,False,False
0,2237.0,2237.0,2237.0,2237.0,0.0,False,True,True,False,True,False,True,False,False,True,False
2,8000.0,8000.0,8000.0,8000.0,1.0,False,True,False,True,True,False,True,False,False,True,False
0,1820.0,1820.0,1820.0,1820.0,1.0,False,True,False,True,False,True,False,False,True,False,False
3,10161.5,10161.5,10161.5,10161.5,1.0,False,False,False,True,True,False,True,False,False,False,True
3,3522.0,3522.0,3522.0,3522.0,1.0,False,True,False,True,False,True,True,False,True,False,False
0,5708.0,5708.0,5708.0,5708.0,1.0,False,True,False,True,True,False,True,False,False,True,False
0,4344.0,4344.0,4344.0,4344.0,1.0,False,True,False,True,False,True,False,True,False,True,False
0,3497.0,3497.0,3497.0,3497.0,1.0,False,True,False,True,True,False,True,False,True,False,False
2,2045.0,2045.0,2045.0,2045.0,1.0,False,True,False,True,True,False,True,False,True,False,False
3,5516.0,5516.0,5516.0,5516.0,0.0,False,True,False,True,True,False,True,False,False,True,False
1,3750.0,3750.0,3750.0,3750.0,1.0,False,True,False,True,True,False,True,False,False,True,False
0,2333.0,2333.0,2333.0,2333.0,0.0,False,True,True,False,False,True,True,False,False,False,True
1,6400.0,6400.0,6400.0,6400.0,0.0,False,True,False,True,True,False,True,False,False,False,True
0,1916.0,1916.0,1916.0,1916.0,5403.459283387622,False,True,True,False,True,False,True,False,True,False,False
0,4600.0,4600.0,4600.0,4600.0,1.0,False,True,False,True,True,False,True,False,False,True,False
1,10161.5,10161.5,10161.5,10161.5,1.0,False,True,False,True,True,False,True,False,False,True,False
0,3625.0,3625.0,3625.0,3625.0,1.0,True,False,False,True,True,False,True,False,False,True,False
0,10161.5,10161.5,10161.5,10161.5,1.0,False,True,False,True,True,False,False,True,False,True,False
1,2178.0,2178.0,2178.0,2178.0,0.0,False,True,False,True,True,False,False,True,True,False,False
0,2383.0,2383.0,2383.0,2383.0,5403.459283387622,False,True,False,True,True,False,True,False,True,False,False
0,674.0,674.0,674.0,674.0,1.0,False,False,False,True,True,False,False,True,True,False,False
0,9328.0,9328.0,9328.0,9328.0,1.0,False,True,False,True,True,False,True,False,True,False,False
0,4885.0,4885.0,4885.0,4885.0,1.0,False,True,True,False,False,True,True,False,True,False,False
0,10161.5,10161.5,10161.5,10161.5,1.0,False,True,True,False,True,False,True,False,False,True,False
0,6033.0,6033.0,6033.0,6033.0,1.0,False,True,False,True,False,True,True,False,False,False,True
0,3858.0,3858.0,3858.0,3858.0,1.0,False,True,True,False,True,False,True,False,False,True,False
0,4191.0,4191.0,4191.0,4191.0,1.0,False,True,True,False,True,False,True,False,True,False,False
1,3125.0,3125.0,3125.0,3125.0,1.0,False,True,False,True,True,False,True,False,False,True,False
0,8333.0,8333.0,8333.0,8333.0,1.0,False,True,True,False,True,False,True,False,True,False,False
0,1907.0,1907.0,1907.0,1907.0,1.0,True,False,True,False,False,True,True,False,False,False,True
0,3416.0,3416.0,3416.0,3416.0,5403.459283387622,True,False,False,True,True,False,True,False,False,True,False
0,10161.5,10161.5,10161.5,10161.5,1.0,False,True,True,False,True,False,False,True,False,False,True
1,2600.0,2600.0,2600.0,2600.0,1.0,False,True,False,True,False,True,True,False,False,True,False
2,4923.0,4923.0,4923.0,4923.0,0.0,False,True,True,False,True,False,True,False,False,True,False
